,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838857.6099715,2069870129.8701298,1272835453.426344,1201312829.2752385,1315158636.6755345,1468317435.2014842,1596968946.2370784,1639492444.7615163,1893726437.2646184,1845482173.0273242,1911563668.8500648,2118467913.378734,2376335048.399756,2807061008.6908445,3576615240.4161587,4900469950.090335,6384451606.1420965,9206301700.396194,11662040713.875309,8647936747.98704,9260284937.797813,10142111334.496105,10619320048.585737,11121465767.406683,11609512939.75425,10553337672.987204,10546135160.030985,11527458565.73342,12457941907.033281,13619291361.281445,12641209802.111986,
14,American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0,612000000.0,639000000.0,648000000.0,709000000.0,
15,Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,77496753.7037037,87879341.48148148,109079978.88888888,131431026.66666666,147841734.44444445,164369278.88888887,182144092.96296296,208372846.29629627,240923924.8148148,290440140.7407407,337174861.8518518,398637727.77777773,438794788.5185185,459470370.3703703,481707407.4074074,499281481.48148143,535174074.07407403,589429629.6296296,577281481.4814814,633729629.6296296,680618518.5185184,727859259.2592592,766199999.9999999,826370370.3703703,800481481.4814814,814381481.4814814,856396296.2962962,919729629.6296296,1022962962.9629629,1157662962.9629629,1312759259.2592592,1370070370.3703704,1228329629.6296296,1148700000.0,1137637037.037037,1199948148.148148,1181448148.148148,1249733333.3333333,1336692592.5925925,1436585185.1851852,1467977777.7777777,1605944444.4444444,1687533333.3333333,1370281481.4814813,
16,Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18606786874.230038,19683055213.34976,19922723709.261955,21539926083.54799,23801097547.317726,25977153096.65136,27309889125.321983,30444618658.3044,32716989584.499943,36686079068.20473,41337215813.640945,45222309329.1522,52051401869.15888,63844971172.32543,88981577008.10612,97333060221.22083,105101474851.88454,110387703601.74352,118535980148.88336,134941497216.8579,150032311977.71588,176953442470.68387,194104601125.45514,177333645297.14554,193593551892.77304,180573751629.9762,182368494683.82764,189400476442.5622,236065919674.03958,299767934207.31213,311326664101.5775,325902990346.12665,325480273782.97314,312126194491.28723,322807333102.7326,367915800415.8004,401089529590.28827,435323994365.31537,399404463135.0472,389098884572.00146,415576210513.09424,379083932596.3293,395342716617.8317,467390797903.3197,614166310997.297,695075176665.1631,747556154537.2866,853955405511.5018,1055127126230.9758,928042998085.7017,1147589183475.7334,1397907916789.9043,1546508558465.663,1576335282651.072,1467504819608.9233,1350534154255.7617,1206685107002.4749,1326882872011.4639,1428529571351.058,1391952510370.4763,1327836171068.5078,
17,Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6592693841.18495,7311749633.3622875,7756110210.119664,8374175257.730753,9169983885.711851,9994070615.85997,10887682273.101418,11579431668.916473,12440625312.868534,13582798556.24042,15373005557.02567,17858486066.747437,22059612476.93315,29515467706.79598,35189299911.660774,40059206763.056015,42959976221.52335,51545758887.68629,62052259073.24932,73937296963.45857,82058912997.23463,71034228443.06204,71275287569.57329,72121016546.65237,67985344886.871605,69386774408.08725,99036164939.16179,124168442533.73967,133339397080.12927,133105805512.22049,166463386179.35373,173794177961.10782,195078126721.7631,190379720809.18018,203535242741.83835,241038283062.64502,237250948791.26593,212790348404.55518,218259904401.95642,217259147049.95413,197289625479.9063,197508773215.3231,214394866675.2396,262273631180.05435,301457562038.5413,316092273276.01544,336280064332.4113,389185571506.05225,432051935642.9452,401758735822.2107,392275107258.6674,431685217367.51056,409401816050.5313,430190979705.962,442584815286.03375,381971148530.5428,395837353031.499,417261151844.9772,455168151938.94086,445011872704.46985,433258467676.51483,
18,Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446305555.5555555,1570000000.0,1193312101.910828,2417355840.0362525,3176333837.033593,3962238113.1602054,4446368570.690101,4581432038.834951,5272798390.701833,5707720390.851498,6235856819.584448,7276753894.715406,8680370408.05943,13245716099.005713,20982986344.302666,33050343782.7759,48852482960.077896,44291490420.50262,52909294791.92624,65951627200.202614,69683935845.21385,74164435946.46272,75244294275.14981,53074370486.043335,37867518957.19747,40865558912.3867,47112941176.47059,48174235294.117645,42607176470.588234,
19,Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,195999990.0,202999992.0,213500006.0,232749998.0,260750008.0,158994962.96296296,165444571.42857143,178297142.85714287,183200000.0,190205714.2857143,242732571.42857143,252842285.7142857,246804571.42857143,304339839.55214554,345263492.06349206,420986666.6666666,448412753.6231884,547535555.5555556,610225555.5555556,782496666.6666666,919726666.6666666,969046666.6666666,1013222222.2222222,1082926304.464766,987143931.166987,1149979285.7734692,1201725497.065779,1131466494.0110068,1082403219.4878733,1113924130.4114907,1132101252.5181746,1167398478.3459036,1083037670.60484,938632612.0263591,925030590.153683,1000428393.885281,869033856.3170933,972896267.915425,893770806.0776415,808077223.3657464,870486065.8831366,876794723.0685855,825394490.1591105,784654423.6204764,915257323.3960996,1117113045.6522198,1273375020.2686229,1356199364.858818,1611835901.906298,1781455092.0711389,2032135246.5000358,2235820867.8274293,2333308099.462491,2451625332.7458434,2705783272.0744286,3104394858.115185,2732808556.8417187,2748180473.7133303,2668495742.8844323,2631434363.22693,2841786382.1906333,
20,Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,11658722590.990019,12400145221.594988,13264015675.319344,14260017387.049244,15960106680.673218,17371457607.937378,18651883472.480846,19992040788.45929,21376353113.47499,23710735894.702213,26706196046.79306,29821661869.912014,37209418018.51343,47743801490.374664,56033077879.03894,65678189097.29078,71113882967.6071,82839905458.63815,101246526194.44089,116315456796.918,126829314388.19148,104730018470.23033,92095926187.53311,87184239053.25444,83349530159.17342,86268264148.37964,120018787249.41304,149394404105.8887,162299103675.26056,164221056511.05652,205331747947.8513,210510999409.33255,234781652446.67502,224721795708.95523,244884129491.19846,288025588396.2781,279201433224.75574,252708051420.83896,258528339631.0291,258245733221.46774,236792460312.4711,236746141604.37036,258383599375.17694,318082528506.5876,369214712443.20557,385714762230.03876,408259840868.82294,470922156309.4525,517328087920.078,483254171097.8122,481420882905.0009,523330354138.1333,496152879924.7267,521791015247.0603,535390200131.0177,462335574841.48413,476062757356.92725,502764720556.3538,543273794572.3918,535288715239.99915,521861292586.6162,
21,Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,226195579.35701,235668222.42998353,236434906.75426987,253927646.47590935,269818988.2592627,289908720.64862245,302925280.7735641,306222000.40731555,326323097.35596395,330748211.4597366,333627758.1546661,335072975.2157658,410331900.9505308,504376035.7164008,554654786.9651071,676870140.3415287,698408244.3853434,750049739.1522377,928843304.7839653,1186231265.1841657,1405251547.2388248,1291119965.1126204,1267778489.0307946,1095348302.9186547,1051133927.0000894,1045712703.0269575,1336102040.7102506,1562412030.3483834,1620246187.15171,1502294411.4620214,1959965243.76269,1986437859.9034622,1695315305.7030787,2274557914.074811,1598075932.354319,2169627250.9337907,2361116587.860794,2268301537.65128,2455092582.3092666,3677394291.515164,3519991326.484636,3666222600.09828,4194342849.4657445,5349258334.31914,6190270756.13743,6567654493.508306,7034111651.496404,8169048690.05254,9787735426.008968,9738626993.276962,9535344283.47295,10693321953.635511,11141358945.134943,12517845732.209541,13284528654.057367,11388160958.248966,11821066152.59795,12701654743.214926,14262407011.525412,14391686632.782114,15651545331.540379,
22,Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,330442817.1688586,350247237.1168405,379567023.3403084,394040588.3034768,410321618.1713704,422916848.42420805,433889831.5847058,450753993.17644775,460442678.2170479,478298597.55670667,458404330.12509626,482411103.78727216,578595583.9757233,674773518.4118388,751133330.5913844,939972703.4630206,976547163.53387,1131224818.3305337,1475583383.3726482,1748480982.1851661,1928719477.4128692,1775842026.4121017,1754449845.301201,1600278756.435893,1459880018.5464602,1552493068.425399,2036303381.2014174,2369834650.089207,2616040645.8726287,2615587725.773906,3101300641.875116,3135045684.1006017,3356692517.8641725,3199536227.9481826,1895290623.4403276,2379518099.226603,2586550747.09844,2447668984.5313115,2804902248.285368,3389566982.5157323,2968369991.4672885,3190371050.455238,3622350203.9459534,4740768355.229736,5451688868.429736,6146352742.033128,6547420133.69942,7625723123.549387,9451436358.96861,9450697335.535646,10109618964.284754,12080296644.0643,12561016091.467287,13444301139.1384,13943016923.901682,11832159275.60297,12833363370.174025,14106956830.085659,15890065019.76338,16178162030.069414,17933606353.177456,
