,SYMBOL,START_DATE,END_DATE,PERCENTAGE
191,^FCHI,2009-02-20,2009-03-23,60
192,^FCHI,2009-03-30,2009-04-02,60
193,^FCHI,2009-08-11,2009-08-13,50
194,^FCHI,2009-08-17,2009-08-20,50
195,^FCHI,2010-05-07,2010-05-11,50
196,^FCHI,2010-05-20,2010-05-28,50
197,^FCHI,2010-06-01,2010-06-03,50
198,^FCHI,2010-06-04,2010-06-11,50
199,^FCHI,2010-06-29,2010-07-08,50
200,^FCHI,2010-07-20,2010-07-21,50
201,^FCHI,2010-07-22,2010-07-23,50
202,^FCHI,2010-08-24,2010-08-30,50
203,^FCHI,2010-08-31,2010-09-01,50
204,^FCHI,2011-08-03,2012-03-02,50
205,^FCHI,2011-09-13,2011-09-14,60
206,^FCHI,2011-09-22,2011-09-27,60
207,^FCHI,2012-03-05,2012-03-13,50
208,^FCHI,2012-03-22,2012-08-17,50
209,^FCHI,2012-08-20,2012-08-21,50
210,^FCHI,2012-08-22,2012-09-07,50
211,^FCHI,2012-09-26,2012-10-17,50
212,^FCHI,2012-10-23,2012-11-22,50
213,^FCHI,2013-09-23,2013-09-24,40
214,^FCHI,2013-09-27,2013-10-11,40
215,^FCHI,2013-12-04,2013-12-23,40
216,^FCHI,2014-01-24,2014-02-07,40
217,^FCHI,2014-05-30,2014-06-06,35
218,^FCHI,2014-06-13,2014-06-18,35
219,^FCHI,2014-06-23,2015-01-23,35
220,^FCHI,2014-08-07,2014-08-13,40
221,^FCHI,2014-08-14,2014-08-15,40
222,^FCHI,2014-10-08,2014-10-31,40
223,^FCHI,2014-11-04,2014-11-06,40
224,^FCHI,2014-11-07,2014-11-10,40
225,^FCHI,2014-11-13,2014-11-18,40
226,^FCHI,2014-12-12,2014-12-19,40
227,^FCHI,2015-01-05,2015-01-13,40
228,^FCHI,2015-01-15,2015-01-16,40
229,^FCHI,2015-03-04,2015-03-05,30
230,^FCHI,2015-04-14,2015-04-15,25
231,^FCHI,2015-04-17,2017-04-24,25
232,^FCHI,2015-06-08,2015-06-11,30
233,^FCHI,2015-06-12,2015-06-22,30
234,^FCHI,2015-06-29,2015-07-13,30
235,^FCHI,2015-08-20,2015-10-26,30
236,^FCHI,2015-08-24,2015-08-27,35
237,^FCHI,2015-09-01,2015-09-02,35
238,^FCHI,2015-09-04,2015-09-07,35
239,^FCHI,2015-09-14,2015-09-16,35
240,^FCHI,2015-09-18,2015-09-21,35
241,^FCHI,2015-09-22,2015-10-05,35
242,^FCHI,2015-10-27,2015-10-30,30
243,^FCHI,2015-11-02,2015-11-03,30
244,^FCHI,2015-11-12,2015-11-18,30
245,^FCHI,2015-11-23,2015-11-26,30
246,^FCHI,2015-12-03,2017-01-03,30
247,^FCHI,2015-12-14,2015-12-15,35
248,^FCHI,2016-01-04,2016-04-19,35
249,^FCHI,2016-01-18,2016-01-19,40
250,^FCHI,2016-01-20,2016-01-22,40
251,^FCHI,2016-02-08,2016-02-18,40
252,^FCHI,2016-02-24,2016-02-25,40
253,^FCHI,2016-04-28,2016-09-05,35
254,^FCHI,2016-06-14,2016-06-17,40
255,^FCHI,2016-06-24,2016-07-01,40
256,^FCHI,2016-07-05,2016-07-11,40
257,^FCHI,2016-09-08,2016-10-21,35
258,^FCHI,2016-10-26,2016-11-22,35
259,^FCHI,2016-11-23,2016-11-24,35
260,^FCHI,2016-11-28,2016-11-30,35
261,^FCHI,2016-12-02,2016-12-06,35
262,^FCHI,2017-01-11,2017-01-13,30
263,^FCHI,2017-01-17,2017-02-14,30
264,^FCHI,2017-02-17,2017-02-22,30
265,^FCHI,2017-02-24,2017-03-01,30
266,^FCHI,2017-06-15,2017-06-16,25
267,^FCHI,2017-06-28,2017-07-13,25
268,^FCHI,2017-07-18,2017-09-18,25
269,^FCHI,2018-02-06,2018-02-16,25
270,^FCHI,2018-03-02,2018-03-09,25
271,^FCHI,2018-03-20,2018-03-21,25
272,^FCHI,2018-03-22,2018-04-05,25
273,^FCHI,2018-05-23,2019-04-23,20
274,^FCHI,2018-10-10,2019-02-25,25
275,^FCHI,2018-12-06,2018-12-13,30
276,^FCHI,2018-12-14,2019-01-25,30
277,^FCHI,2019-02-26,2019-02-27,25
278,^FCHI,2019-02-28,2019-03-01,25
279,^FCHI,2019-04-25,2019-07-01,20
280,^FCHI,2019-05-29,2019-05-30,25
281,^FCHI,2019-05-31,2019-06-05,25
282,^FCHI,2019-07-09,2019-07-10,20
283,^FCHI,2019-07-11,2019-07-16,20
284,^FCHI,2019-07-18,2019-07-23,20
285,^FCHI,2019-07-25,2019-07-26,20
286,^FCHI,2019-07-30,2019-09-05,20
287,^FCHI,2019-08-15,2019-08-16,25
288,^FCHI,2019-09-10,2019-09-11,20
289,^FCHI,2019-09-25,2019-09-26,20
290,^FCHI,2019-10-02,2019-10-11,20
291,^FCHI,2019-11-18,2019-11-25,15
292,^FCHI,2019-11-28,2019-12-13,15
293,^FCHI,2020-01-27,2020-01-29,15
294,^FCHI,2020-01-30,2020-02-05,15
295,^FCHI,2020-02-24,2021-03-10,15
296,^FCHI,2020-02-26,2020-11-26,20
297,^FCHI,2020-03-02,2020-03-03,25
298,^FCHI,2020-03-06,2020-11-10,25
299,^FCHI,2020-03-09,2020-06-03,30
300,^FCHI,2020-03-12,2020-04-29,35
301,^FCHI,2020-03-12,2020-03-25,40
302,^FCHI,2020-04-02,2020-04-06,40
303,^FCHI,2020-05-04,2020-05-08,35
304,^FCHI,2020-05-11,2020-05-26,35
305,^FCHI,2020-06-11,2020-06-16,30
306,^FCHI,2020-06-25,2020-06-26,30
307,^FCHI,2020-07-01,2020-07-02,30
308,^FCHI,2020-07-30,2020-08-05,30
309,^FCHI,2020-08-06,2020-08-10,30
310,^FCHI,2020-08-21,2020-08-24,30
311,^FCHI,2020-09-21,2020-10-07,30
312,^FCHI,2020-10-15,2020-10-16,30
313,^FCHI,2020-10-21,2020-11-05,30
